date,copper_price_usd_per_ton
1992-01-01,2150.58
1992-02-01,2208.89
1992-03-01,2231.79
1992-04-01,2214.17
1992-05-01,2219.32
1992-06-01,2296.44
1992-07-01,2527.29
1992-08-01,2513.47
1992-09-01,2419.61
1992-10-01,2262.46
1992-11-01,2161.79
1992-12-01,2211.95
1993-01-01,2264.21
1993-02-01,2212.18
1993-03-01,2152.38
1993-04-01,1953.62
1993-05-01,1799.35
1993-06-01,1857.87
1993-07-01,1927.34
1993-08-01,1951.07
1993-09-01,1858.25
1993-10-01,1647.00
1993-11-01,1632.57
1993-12-01,1723.63
1994-01-01,1807.07
1994-02-01,1865.08
1994-03-01,1913.17
1994-04-01,1881.37
1994-05-01,2144.50
1994-06-01,2363.09
1994-07-01,2447.24
1994-08-01,2409.75
1994-09-01,2504.84
1994-10-01,2546.02
1994-11-01,2803.55
1994-12-01,2980.70
1995-01-01,3003.26
1995-02-01,2870.45
1995-03-01,2919.67
1995-04-01,2894.89
1995-05-01,2771.57
1995-06-01,2987.68
1995-07-01,3076.45
1995-08-01,3040.14
1995-09-01,2910.43
1995-10-01,2810.07
1995-11-01,2981.62
1995-12-01,2918.21
1996-01-01,2605.00
1996-02-01,2544.67
1996-03-01,2563.35
1996-04-01,2594.17
1996-05-01,2658.76
1996-06-01,2177.60
1996-07-01,1983.93
1996-08-01,2017.86
1996-09-01,1935.07
1996-10-01,1960.20
1996-11-01,2215.43
1996-12-01,2264.60
1997-01-01,2427.27
1997-02-01,2406.63
1997-03-01,2420.18
1997-04-01,2389.32
1997-05-01,2513.30
1997-06-01,2611.29
1997-07-01,2449.20
1997-08-01,2250.10
1997-09-01,2104.31
1997-10-01,2050.70
1997-11-01,1918.50
1997-12-01,1761.45
1998-01-01,1687.60
1998-02-01,1664.00
1998-03-01,1747.16
1998-04-01,1800.13
1998-05-01,1731.66
1998-06-01,1656.60
1998-07-01,1655.67
1998-08-01,1619.93
1998-09-01,1646.77
1998-10-01,1585.50
1998-11-01,1573.72
1998-12-01,1475.76
1999-01-01,1432.00
1999-02-01,1412.95
1999-03-01,1378.48
1999-04-01,1463.73
1999-05-01,1510.45
1999-06-01,1422.16
1999-07-01,1639.18
1999-08-01,1646.74
1999-09-01,1749.68
1999-10-01,1723.29
1999-11-01,1726.77
1999-12-01,1764.88
2000-01-01,1843.85
2000-02-01,1807.03
2000-03-01,1739.80
2000-04-01,1681.91
2000-05-01,1785.10
2000-06-01,1752.07
2000-07-01,1803.14
2000-08-01,1857.12
2000-09-01,1961.89
2000-10-01,1894.37
2000-11-01,1795.60
2000-12-01,1852.40
2001-01-01,1787.06
2001-02-01,1766.13
2001-03-01,1742.16
2001-04-01,1665.97
2001-05-01,1684.85
2001-06-01,1610.47
2001-07-01,1526.77
2001-08-01,1466.41
2001-09-01,1427.70
2001-10-01,1377.38
2001-11-01,1434.29
2001-12-01,1472.85
2002-01-01,1508.23
2002-02-01,1561.37
2002-03-01,1607.39
2002-04-01,1588.57
2002-05-01,1597.02
2002-06-01,1650.59
2002-07-01,1588.28
2002-08-01,1482.92
2002-09-01,1478.93
2002-10-01,1486.17
2002-11-01,1581.04
2002-12-01,1592.96
2003-01-01,1650.31
2003-02-01,1682.15
2003-03-01,1655.69
2003-04-01,1587.87
2003-05-01,1651.10
2003-06-01,1685.11
2003-07-01,1712.83
2003-08-01,1756.73
2003-09-01,1789.67
