date,oil_production_kbd
1986-01-01,9137
1986-02-01,9173
1986-03-01,9013
1986-04-01,8864
1986-05-01,8838
1986-06-01,8623
1986-07-01,8660
1986-08-01,8374
1986-09-01,8328
1986-10-01,8419
1986-11-01,8412
1986-12-01,8352
1987-01-01,8480
1987-02-01,8389
1987-03-01,8464
1987-04-01,8498
1987-05-01,8336
1987-06-01,8279
1987-07-01,8251
1987-08-01,8210
1987-09-01,8205
1987-10-01,8364
1987-11-01,8397
1987-12-01,8318
1988-01-01,8250
1988-02-01,8374
1988-03-01,8374
1988-04-01,8288
1988-05-01,8229
1988-06-01,8170
1988-07-01,8040
1988-08-01,8079
1988-09-01,7895
1988-10-01,8023
1988-11-01,8023
1988-12-01,7942
1989-01-01,7937
1989-02-01,7788
1989-03-01,7575
1989-04-01,7772
1989-05-01,7816
1989-06-01,7624
1989-07-01,7444
1989-08-01,7544
1989-09-01,7548
1989-10-01,7453
1989-11-01,7536
1989-12-01,7337
1990-01-01,7546
1990-02-01,7497
1990-03-01,7433
1990-04-01,7407
1990-05-01,7328
1990-06-01,7106
1990-07-01,7173
1990-08-01,7287
1990-09-01,7224
1990-10-01,7542
1990-11-01,7387
1990-12-01,7338
1991-01-01,7500
1991-02-01,7637
1991-03-01,7546
1991-04-01,7509
1991-05-01,7409
1991-06-01,7320
1991-07-01,7347
1991-08-01,7316
1991-09-01,7368
1991-10-01,7437
1991-11-01,7328
1991-12-01,7299
1992-01-01,7361
1992-02-01,7389
1992-03-01,7348
1992-04-01,7293
1992-05-01,7169
1992-06-01,7167
1992-07-01,7131
1992-08-01,6922
1992-09-01,7030
1992-10-01,7126
1992-11-01,7024
1992-12-01,7103
1993-01-01,6961
1993-02-01,6943
1993-03-01,6974
1993-04-01,6881
1993-05-01,6847
1993-06-01,6795
1993-07-01,6688
1993-08-01,6758
1993-09-01,6712
1993-10-01,6839
1993-11-01,6912
1993-12-01,6858
1994-01-01,6817
1994-02-01,6770
1994-03-01,6746
1994-04-01,6612
1994-05-01,6688
1994-06-01,6611
1994-07-01,6501
1994-08-01,6544
1994-09-01,6609
1994-10-01,6658
1994-11-01,6628
1994-12-01,6760
1995-01-01,6682
1995-02-01,6794
1995-03-01,6600
1995-04-01,6604
1995-05-01,6629
1995-06-01,6579
1995-07-01,6449
1995-08-01,6447
1995-09-01,6416
1995-10-01,6421
1995-11-01,6585
1995-12-01,6530
1996-01-01,6495
1996-02-01,6577
1996-03-01,6571
1996-04-01,6444
1996-05-01,6394
1996-06-01,6458
1996-07-01,6338
1996-08-01,6360
1996-09-01,6482
1996-10-01,6481
1996-11-01,6476
1996-12-01,6506
1997-01-01,6402
1997-02-01,6514
1997-03-01,6452
1997-04-01,6441
1997-05-01,6474
1997-06-01,6442
1997-07-01,6409
1997-08-01,6347
1997-09-01,6486
1997-10-01,6467
1997-11-01,6459
1997-12-01,6531
1998-01-01,6541
1998-02-01,6476
1998-03-01,6408
1998-04-01,6483
1998-05-01,6347
1998-06-01,6267
1998-07-01,6194
1998-08-01,6203
1998-09-01,5789
1998-10-01,6143
1998-11-01,6140
1998-12-01,6043
1999-01-01,5963
1999-02-01,5966
1999-03-01,5883
1999-04-01,5887
1999-05-01,5875
1999-06-01,5760
1999-07-01,5798
1999-08-01,5780
1999-09-01,5804
1999-10-01,5947
1999-11-01,5960
1999-12-01,5959
2000-01-01,5784
2000-02-01,5852
2000-03-01,5918
2000-04-01,5854
2000-05-01,5847
2000-06-01,5823
2000-07-01,5739
2000-08-01,5789
2000-09-01,5758
2000-10-01,5809
2000-11-01,5833
2000-12-01,5855
2001-01-01,5799
2001-02-01,5780
2001-03-01,5880
2001-04-01,5863
2001-05-01,5829
2001-06-01,5766
2001-07-01,5749
2001-08-01,5725
2001-09-01,5709
2001-10-01,5746
2001-11-01,5881
2001-12-01,5887
2002-01-01,5873
2002-02-01,5881
2002-03-01,5886
2002-04-01,5844
2002-05-01,5905
2002-06-01,5884
2002-07-01,5751
2002-08-01,5796
2002-09-01,5411
2002-10-01,5358
2002-11-01,5624
2002-12-01,5722
2003-01-01,5755
2003-02-01,5783
2003-03-01,5803
2003-04-01,5726
2003-05-01,5663
2003-06-01,5659
2003-07-01,5498
2003-08-01,5574
2003-09-01,5609
2003-10-01,5614
2003-11-01,5547
2003-12-01,5571
2004-01-01,5585
2004-02-01,5572
2004-03-01,5617
2004-04-01,5560
2004-05-01,5556
2004-06-01,5407
2004-07-01,5484
2004-08-01,5325
2004-09-01,5081
2004-10-01,5170
2004-11-01,5423
2004-12-01,5510
2005-01-01,5446
2005-02-01,5501
2005-03-01,5601
2005-04-01,5563
2005-05-01,5596
2005-06-01,5442
2005-07-01,5253
2005-08-01,5198
2005-09-01,4214
2005-10-01,4555
2005-11-01,4857
2005-12-01,4988
2006-01-01,5048
2006-02-01,5032
2006-03-01,5027
2006-04-01,5082
2006-05-01,5151
2006-06-01,5163
2006-07-01,5094
2006-08-01,5040
2006-09-01,5031
2006-10-01,5108
2006-11-01,5064
2006-12-01,5186
2007-01-01,5108
2007-02-01,5118
2007-03-01,5119
2007-04-01,5180
2007-05-01,5211
2007-06-01,5075
2007-07-01,5038
2007-08-01,4970
2007-09-01,4902
2007-10-01,5022
2007-11-01,5034
2007-12-01,5111
2008-01-01,5115
2008-02-01,5148
2008-03-01,5189
2008-04-01,5180
2008-05-01,5143
2008-06-01,5138
2008-07-01,5177
2008-08-01,5003
2008-09-01,3974
2008-10-01,4738
2008-11-01,5078
2008-12-01,5103
2009-01-01,5144
2009-02-01,5239
2009-03-01,5219
2009-04-01,5278
2009-05-01,5377
2009-06-01,5269
2009-07-01,5398
2009-08-01,5418
2009-09-01,5559
2009-10-01,5524
2009-11-01,5395
2009-12-01,5452
2010-01-01,5404
2010-02-01,5553
2010-03-01,5515
2010-04-01,5392
2010-05-01,5401
2010-06-01,5380
2010-07-01,5298
2010-08-01,5447
2010-09-01,5616
2010-10-01,5631
2010-11-01,5576
2010-12-01,5607
2011-01-01,5497
2011-02-01,5406
2011-03-01,5618
2011-04-01,5562
2011-05-01,5625
2011-06-01,5589
2011-07-01,5440
2011-08-01,5665
2011-09-01,5614
2011-10-01,5902
2011-11-01,6039
2011-12-01,6112
2012-01-01,6177
2012-02-01,6268
2012-03-01,6327
2012-04-01,6320
2012-05-01,6370
2012-06-01,6275
2012-07-01,6431
2012-08-01,6351
2012-09-01,6598
2012-10-01,6970
2012-11-01,7082
2012-12-01,7106
2013-01-01,7083
2013-02-01,7145
2013-03-01,7214
2013-04-01,7374
2013-05-01,7326
2013-06-01,7277
2013-07-01,7522
2013-08-01,7534
2013-09-01,7838
2013-10-01,7760
2013-11-01,7919
2013-12-01,7932
2014-01-01,8072
2014-02-01,8149
2014-03-01,8291
2014-04-01,8520
2014-05-01,8636
2014-06-01,8734
2014-07-01,8837
2014-08-01,8920
2014-09-01,9070
2014-10-01,9250
