date,oil_stocks_kbbl
2005-01-01,270314
2005-02-01,286010
2005-03-01,303506
2005-04-01,321717
2005-05-01,320029
2005-06-01,311882
2005-07-01,302400
2005-08-01,293574
2005-09-01,290327
2005-10-01,306035
2005-11-01,306323
2005-12-01,307651
2006-01-01,307204
2006-02-01,326383
2006-03-01,326417
2006-04-01,331258
2006-05-01,324286
2006-06-01,320523
2006-07-01,315387
2006-08-01,316622
2006-09-01,316599
2006-10-01,322917
2006-11-01,318184
2006-12-01,295819
2007-01-01,307333
2007-02-01,300287
2007-03-01,313541
2007-04-01,324791
2007-05-01,336088
2007-06-01,336953
2007-07-01,319480
2007-08-01,303470
2007-09-01,294041
2007-10-01,290033
2007-11-01,282180
2007-12-01,268393
2008-01-01,278727
2008-02-01,284627
2008-03-01,297218
2008-04-01,302239
2008-05-01,286150
2008-06-01,278254
2008-07-01,277848
2008-08-01,285014
2008-09-01,286462
2008-10-01,295160
2008-11-01,304011
2008-12-01,308245
2009-01-01,333154
2009-02-01,339285
2009-03-01,348428
2009-04-01,352171
2009-05-01,341106
2009-06-01,328657
2009-07-01,327214
2009-08-01,317546
2009-09-01,317074
2009-10-01,314409
2009-11-01,318846
2009-12-01,307140
2010-01-01,316104
2010-02-01,322375
2010-03-01,338442
2010-04-01,342635
2010-05-01,341282
2010-06-01,344988
2010-07-01,337017
2010-08-01,338719
2010-09-01,342318
2010-10-01,346830
2010-11-01,331442
2010-12-01,312082
2011-01-01,323459
2011-02-01,326814
2011-03-01,338421
2011-04-01,344413
2011-05-01,346072
2011-06-01,333699
2011-07-01,324292
2011-08-01,324817
2011-09-01,308245
2011-10-01,314922
2011-11-01,314602
2011-12-01,308221
2012-01-01,317882
2012-02-01,322879
2012-03-01,347608
2012-04-01,357045
2012-05-01,363759
2012-06-01,362153
2012-07-01,346677
2012-08-01,336391
2012-09-01,343342
2012-10-01,349531
2012-11-01,352411
2012-12-01,337796
2013-01-01,349294
2013-02-01,356799
2013-03-01,364621
2013-04-01,367555
2013-05-01,363304
2013-06-01,348807
2013-07-01,339391
2013-08-01,337127
2013-09-01,344016
2013-10-01,352597
2013-11-01,344172
2013-12-01,327191
2014-01-01,336238
2014-02-01,345274
2014-03-01,354987
2014-04-01,365339
2014-05-01,365460
2014-06-01,354305
2014-07-01,338737
2014-08-01,331076
2014-09-01,332155
2014-10-01,351717
2014-11-01,356729
2014-12-01,360865
2015-01-01,389213
2015-02-01,415313
2015-03-01,443200
2015-04-01,452713
2015-05-01,448961
2015-06-01,438810
2015-07-01,424809
2015-08-01,425853
2015-09-01,429129
2015-10-01,455213
2015-11-01,455994
2015-12-01,449220
2016-01-01,471767
2016-02-01,492153
2016-03-01,504811
2016-04-01,509323
2016-05-01,511861
2016-06-01,500857
2016-07-01,493458
2016-08-01,486675
2016-09-01,471537
2016-10-01,491203
2016-11-01,490734
2016-12-01,484622
2017-01-01,506798
2017-02-01,525419
2017-03-01,538595
2017-04-01,524286
2017-05-01,516808
2017-06-01,501557
2017-07-01,483411
2017-08-01,459982
2017-09-01,469588
2017-10-01,459731
2017-11-01,453054
2017-12-01,421646
2018-01-01,420760
2018-02-01,423843
2018-03-01,424939
2018-04-01,436578
2018-05-01,434197
2018-06-01,415152
2018-07-01,409641
2018-08-01,407583
2018-09-01,416684
2018-10-01,433808
2018-11-01,449379
2018-12-01,442501
2019-01-01,448972
2019-02-01,451660
2019-03-01,458890
2019-04-01,469802
2019-05-01,481125
2019-06-01,463446
2019-07-01,441588
2019-08-01,430118
2019-09-01,425614
2019-10-01,443367
2019-11-01,445887
2019-12-01,432772
2020-01-01,440253
2020-02-01,452563
2020-03-01,483341
2020-04-01,529035
2020-05-01,521593
2020-06-01,532657
2020-07-01,520124
2020-08-01,504399
2020-09-01,497724
2020-10-01,493922
2020-11-01,500752
2020-12-01,485471
2021-01-01,476269
2021-02-01,493876
2021-03-01,502464
2021-04-01,489158
2021-05-01,476980
2021-06-01,448108
2021-07-01,438745
2021-08-01,421525
2021-09-01,420343
2021-10-01,436580
2021-11-01,433387
2021-12-01,421184
2022-01-01,413714
2022-02-01,408526
2022-03-01,414207
2022-04-01,417382
2022-05-01,415065
2022-06-01,417799
2022-07-01,424075
2022-08-01,419785
2022-09-01,429000
2022-10-01,439678
2022-11-01,416621
2022-12-01,430102
2023-01-01,459159
2023-02-01,472369
2023-03-01,465219
2023-04-01,459627
2023-05-01,460643
2023-06-01,454715
2023-07-01,439947
2023-08-01,417301
2023-09-01,417865
2023-10-01,425993
2023-11-01,441838
2023-12-01,426491
2024-01-01,428155
2024-02-01,448337
2024-03-01,447754
2024-04-01,464600
2024-05-01,455026
2024-06-01,440482
2024-07-01,427672
2024-08-01,417661
2024-09-01,415151
2024-10-01,423765
2024-11-01,421225
2024-12-01,413380
2025-01-01,418782
2025-02-01,429786
2025-03-01,431688
2025-04-01,435065
2025-05-01,430527
2025-06-01,413906
2025-07-01,420186
2025-08-01,417294
2025-09-01,407853
2025-10-01,420994
2025-11-01,420564
2025-12-01,411237
2026-01-01,406144
2026-02-01,434907
